node1 -- Embedding: 2-2 -- forward_compute_time=21.967, backward_compute_time=0.000, activation_size=26214400, parameter_size=643289600
node2 -- Embedding: 2-3 -- forward_compute_time=18.962, backward_compute_time=0.000, activation_size=26214400, parameter_size=13107200
node3 -- LayerNorm: 4-1 -- forward_compute_time=79.901, backward_compute_time=0.000, activation_size=26214400, parameter_size=25600
node4 -- Conv1D: 5-1 -- forward_compute_time=342.557, backward_compute_time=0.000, activation_size=78643200, parameter_size=61478400
node5 -- Conv1D: 5-2 -- forward_compute_time=26.09, backward_compute_time=0.000, activation_size=26214400, parameter_size=20492800
node6 -- LayerNorm: 4-3 -- forward_compute_time=75.019, backward_compute_time=0.000, activation_size=26214400, parameter_size=25600
node7 -- Conv1D: 5-3 -- forward_compute_time=44.415, backward_compute_time=0.000, activation_size=104857600, parameter_size=81971200
node8 -- Conv1D: 5-4 -- forward_compute_time=51.754, backward_compute_time=0.000, activation_size=26214400, parameter_size=81932800
node9 -- LayerNorm: 4-5 -- forward_compute_time=79.836, backward_compute_time=0.000, activation_size=26214400, parameter_size=25600
node10 -- Conv1D: 5-5 -- forward_compute_time=38.451, backward_compute_time=0.000, activation_size=78643200, parameter_size=61478400
node11 -- Conv1D: 5-6 -- forward_compute_time=25.972, backward_compute_time=0.000, activation_size=26214400, parameter_size=20492800
node12 -- LayerNorm: 4-7 -- forward_compute_time=77.451, backward_compute_time=0.000, activation_size=26214400, parameter_size=25600
node13 -- Conv1D: 5-7 -- forward_compute_time=44.45, backward_compute_time=0.000, activation_size=104857600, parameter_size=81971200
node14 -- Conv1D: 5-8 -- forward_compute_time=47.46, backward_compute_time=0.000, activation_size=26214400, parameter_size=81932800
node15 -- LayerNorm: 4-9 -- forward_compute_time=75.083, backward_compute_time=0.000, activation_size=26214400, parameter_size=25600
node16 -- Conv1D: 5-9 -- forward_compute_time=38.197, backward_compute_time=0.000, activation_size=78643200, parameter_size=61478400
node17 -- Conv1D: 5-10 -- forward_compute_time=26.33, backward_compute_time=0.000, activation_size=26214400, parameter_size=20492800
node18 -- LayerNorm: 4-11 -- forward_compute_time=79.808, backward_compute_time=0.000, activation_size=26214400, parameter_size=25600
node19 -- Conv1D: 5-11 -- forward_compute_time=44.511, backward_compute_time=0.000, activation_size=104857600, parameter_size=81971200
node20 -- Conv1D: 5-12 -- forward_compute_time=47.136, backward_compute_time=0.000, activation_size=26214400, parameter_size=81932800
node21 -- LayerNorm: 4-13 -- forward_compute_time=75.009, backward_compute_time=0.000, activation_size=26214400, parameter_size=25600
node22 -- Conv1D: 5-13 -- forward_compute_time=38.317, backward_compute_time=0.000, activation_size=78643200, parameter_size=61478400
node23 -- Conv1D: 5-14 -- forward_compute_time=26.13, backward_compute_time=0.000, activation_size=26214400, parameter_size=20492800
node24 -- LayerNorm: 4-15 -- forward_compute_time=75.059, backward_compute_time=0.000, activation_size=26214400, parameter_size=25600
node25 -- Conv1D: 5-15 -- forward_compute_time=46.97, backward_compute_time=0.000, activation_size=104857600, parameter_size=81971200
node26 -- Conv1D: 5-16 -- forward_compute_time=46.846, backward_compute_time=0.000, activation_size=26214400, parameter_size=81932800
node27 -- LayerNorm: 4-17 -- forward_compute_time=84.635, backward_compute_time=0.000, activation_size=26214400, parameter_size=25600
node28 -- Conv1D: 5-17 -- forward_compute_time=38.462, backward_compute_time=0.000, activation_size=78643200, parameter_size=61478400
node29 -- Conv1D: 5-18 -- forward_compute_time=26.149, backward_compute_time=0.000, activation_size=26214400, parameter_size=20492800
node30 -- LayerNorm: 4-19 -- forward_compute_time=77.088, backward_compute_time=0.000, activation_size=26214400, parameter_size=25600
node31 -- Conv1D: 5-19 -- forward_compute_time=44.204, backward_compute_time=0.000, activation_size=104857600, parameter_size=81971200
node32 -- Conv1D: 5-20 -- forward_compute_time=47.065, backward_compute_time=0.000, activation_size=26214400, parameter_size=81932800
node33 -- LayerNorm: 4-21 -- forward_compute_time=77.396, backward_compute_time=0.000, activation_size=26214400, parameter_size=25600
node34 -- Conv1D: 5-21 -- forward_compute_time=38.78, backward_compute_time=0.000, activation_size=78643200, parameter_size=61478400
node35 -- Conv1D: 5-22 -- forward_compute_time=26.022, backward_compute_time=0.000, activation_size=26214400, parameter_size=20492800
node36 -- LayerNorm: 4-23 -- forward_compute_time=79.837, backward_compute_time=0.000, activation_size=26214400, parameter_size=25600
node37 -- Conv1D: 5-23 -- forward_compute_time=44.105, backward_compute_time=0.000, activation_size=104857600, parameter_size=81971200
node38 -- Conv1D: 5-24 -- forward_compute_time=47.071, backward_compute_time=0.000, activation_size=26214400, parameter_size=81932800
node39 -- LayerNorm: 4-25 -- forward_compute_time=79.86, backward_compute_time=0.000, activation_size=26214400, parameter_size=25600
node40 -- Conv1D: 5-25 -- forward_compute_time=38.556, backward_compute_time=0.000, activation_size=78643200, parameter_size=61478400
node41 -- Conv1D: 5-26 -- forward_compute_time=25.938, backward_compute_time=0.000, activation_size=26214400, parameter_size=20492800
node42 -- LayerNorm: 4-27 -- forward_compute_time=79.87, backward_compute_time=0.000, activation_size=26214400, parameter_size=25600
node43 -- Conv1D: 5-27 -- forward_compute_time=46.605, backward_compute_time=0.000, activation_size=104857600, parameter_size=81971200
node44 -- Conv1D: 5-28 -- forward_compute_time=49.641, backward_compute_time=0.000, activation_size=26214400, parameter_size=81932800
node45 -- LayerNorm: 4-29 -- forward_compute_time=75.059, backward_compute_time=0.000, activation_size=26214400, parameter_size=25600
node46 -- Conv1D: 5-29 -- forward_compute_time=38.328, backward_compute_time=0.000, activation_size=78643200, parameter_size=61478400
node47 -- Conv1D: 5-30 -- forward_compute_time=25.908, backward_compute_time=0.000, activation_size=26214400, parameter_size=20492800
node48 -- LayerNorm: 4-31 -- forward_compute_time=75.051, backward_compute_time=0.000, activation_size=26214400, parameter_size=25600
node49 -- Conv1D: 5-31 -- forward_compute_time=46.574, backward_compute_time=0.000, activation_size=104857600, parameter_size=81971200
node50 -- Conv1D: 5-32 -- forward_compute_time=47.153, backward_compute_time=0.000, activation_size=26214400, parameter_size=81932800
node51 -- LayerNorm: 4-33 -- forward_compute_time=79.874, backward_compute_time=0.000, activation_size=26214400, parameter_size=25600
node52 -- Conv1D: 5-33 -- forward_compute_time=38.223, backward_compute_time=0.000, activation_size=78643200, parameter_size=61478400
node53 -- Conv1D: 5-34 -- forward_compute_time=26.19, backward_compute_time=0.000, activation_size=26214400, parameter_size=20492800
node54 -- LayerNorm: 4-35 -- forward_compute_time=77.439, backward_compute_time=0.000, activation_size=26214400, parameter_size=25600
node55 -- Conv1D: 5-35 -- forward_compute_time=46.686, backward_compute_time=0.000, activation_size=104857600, parameter_size=81971200
