node1 -- Embedding: 2-2 -- forward_compute_time=28.298, backward_compute_time=0.000, activation_size=104857600, parameter_size=643289600
node2 -- Embedding: 2-3 -- forward_compute_time=24.849, backward_compute_time=0.000, activation_size=104857600, parameter_size=13107200
node3 -- LayerNorm: 4-1 -- forward_compute_time=83.595, backward_compute_time=0.000, activation_size=104857600, parameter_size=25600
node4 -- Conv1D: 5-1 -- forward_compute_time=344.755, backward_compute_time=0.000, activation_size=314572800, parameter_size=61478400
node5 -- Conv1D: 5-2 -- forward_compute_time=29.369, backward_compute_time=0.000, activation_size=104857600, parameter_size=20492800
node6 -- LayerNorm: 4-3 -- forward_compute_time=80.939, backward_compute_time=0.000, activation_size=104857600, parameter_size=25600
node7 -- Conv1D: 5-3 -- forward_compute_time=51.58, backward_compute_time=0.000, activation_size=419430400, parameter_size=81971200
node8 -- Conv1D: 5-4 -- forward_compute_time=49.316, backward_compute_time=0.000, activation_size=104857600, parameter_size=81932800
node9 -- LayerNorm: 4-5 -- forward_compute_time=80.95, backward_compute_time=0.000, activation_size=104857600, parameter_size=25600
node10 -- Conv1D: 5-5 -- forward_compute_time=44.937, backward_compute_time=0.000, activation_size=314572800, parameter_size=61478400
node11 -- Conv1D: 5-6 -- forward_compute_time=27.04, backward_compute_time=0.000, activation_size=104857600, parameter_size=20492800
node12 -- LayerNorm: 4-7 -- forward_compute_time=80.864, backward_compute_time=0.000, activation_size=104857600, parameter_size=25600
node13 -- Conv1D: 5-7 -- forward_compute_time=51.651, backward_compute_time=0.000, activation_size=419430400, parameter_size=81971200
node14 -- Conv1D: 5-8 -- forward_compute_time=49.09, backward_compute_time=0.000, activation_size=104857600, parameter_size=81932800
node15 -- LayerNorm: 4-9 -- forward_compute_time=78.609, backward_compute_time=0.000, activation_size=104857600, parameter_size=25600
node16 -- Conv1D: 5-9 -- forward_compute_time=44.965, backward_compute_time=0.000, activation_size=314572800, parameter_size=61478400
node17 -- Conv1D: 5-10 -- forward_compute_time=26.88, backward_compute_time=0.000, activation_size=104857600, parameter_size=20492800
node18 -- LayerNorm: 4-11 -- forward_compute_time=83.312, backward_compute_time=0.000, activation_size=104857600, parameter_size=25600
node19 -- Conv1D: 5-11 -- forward_compute_time=51.529, backward_compute_time=0.000, activation_size=419430400, parameter_size=81971200
node20 -- Conv1D: 5-12 -- forward_compute_time=49.148, backward_compute_time=0.000, activation_size=104857600, parameter_size=81932800
node21 -- LayerNorm: 4-13 -- forward_compute_time=78.551, backward_compute_time=0.000, activation_size=104857600, parameter_size=25600
node22 -- Conv1D: 5-13 -- forward_compute_time=44.857, backward_compute_time=0.000, activation_size=314572800, parameter_size=61478400
node23 -- Conv1D: 5-14 -- forward_compute_time=26.834, backward_compute_time=0.000, activation_size=104857600, parameter_size=20492800
node24 -- LayerNorm: 4-15 -- forward_compute_time=78.536, backward_compute_time=0.000, activation_size=104857600, parameter_size=25600
node25 -- Conv1D: 5-15 -- forward_compute_time=51.721, backward_compute_time=0.000, activation_size=419430400, parameter_size=81971200
node26 -- Conv1D: 5-16 -- forward_compute_time=49.155, backward_compute_time=0.000, activation_size=104857600, parameter_size=81932800
node27 -- LayerNorm: 4-17 -- forward_compute_time=80.867, backward_compute_time=0.000, activation_size=104857600, parameter_size=25600
node28 -- Conv1D: 5-17 -- forward_compute_time=44.891, backward_compute_time=0.000, activation_size=314572800, parameter_size=61478400
node29 -- Conv1D: 5-18 -- forward_compute_time=26.778, backward_compute_time=0.000, activation_size=104857600, parameter_size=20492800
node30 -- LayerNorm: 4-19 -- forward_compute_time=78.485, backward_compute_time=0.000, activation_size=104857600, parameter_size=25600
node31 -- Conv1D: 5-19 -- forward_compute_time=51.79, backward_compute_time=0.000, activation_size=419430400, parameter_size=81971200
node32 -- Conv1D: 5-20 -- forward_compute_time=49.221, backward_compute_time=0.000, activation_size=104857600, parameter_size=81932800
node33 -- LayerNorm: 4-21 -- forward_compute_time=78.713, backward_compute_time=0.000, activation_size=104857600, parameter_size=25600
node34 -- Conv1D: 5-21 -- forward_compute_time=44.822, backward_compute_time=0.000, activation_size=314572800, parameter_size=61478400
