Module          | Self CPU total | CPU total | Self CUDA total | CUDA total | Number of Calls
----------------|----------------|-----------|-----------------|------------|----------------
GPT2LMHeadModel |                |           |                 |            |
├── transformer |                |           |                 |            |
│├── wte        | 31.401ms       | 52.660ms  | 15.175ms        | 24.171ms   | 512
│├── wpe        | 27.484ms       | 47.176ms  | 13.580ms        | 21.043ms   | 512
│├── h          |                |           |                 |            |
││├── 0         |                |           |                 |            |
│││├── ln_1     | 124.450ms      | 146.691ms | 74.081ms        | 79.006ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 330.460ms      | 336.496ms | 337.225ms       | 337.225ms  | 512
││││└── c_proj  | 45.681ms       | 50.556ms  | 28.815ms        | 28.815ms   | 512
│││├── ln_2     | 124.756ms      | 146.304ms | 71.378ms        | 76.311ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 51.729ms       | 57.539ms  | 49.943ms        | 49.943ms   | 512
││││└── c_proj  | 47.175ms       | 52.373ms  | 48.539ms        | 48.539ms   | 512
││├── 1         |                |           |                 |            |
│││├── ln_1     | 123.887ms      | 145.431ms | 71.328ms        | 76.239ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.413ms       | 45.210ms  | 43.834ms        | 43.834ms   | 512
││││└── c_proj  | 45.923ms       | 50.892ms  | 26.341ms        | 26.341ms   | 512
│││├── ln_2     | 126.911ms      | 148.252ms | 76.403ms        | 81.323ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 51.604ms       | 57.407ms  | 49.454ms        | 49.454ms   | 512
││││└── c_proj  | 47.311ms       | 52.532ms  | 47.826ms        | 47.826ms   | 512
││├── 2         |                |           |                 |            |
│││├── ln_1     | 124.945ms      | 146.594ms | 73.673ms        | 78.593ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 40.544ms       | 46.677ms  | 46.175ms        | 46.175ms   | 512
││││└── c_proj  | 46.083ms       | 51.455ms  | 26.376ms        | 26.376ms   | 512
│││├── ln_2     | 123.801ms      | 145.156ms | 71.305ms        | 76.228ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 51.660ms       | 57.502ms  | 51.681ms        | 51.681ms   | 512
││││└── c_proj  | 47.364ms       | 52.957ms  | 48.110ms        | 48.110ms   | 512
││├── 3         |                |           |                 |            |
│││├── ln_1     | 124.156ms      | 145.716ms | 71.293ms        | 76.211ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.680ms       | 45.487ms  | 43.877ms        | 43.877ms   | 512
││││└── c_proj  | 45.514ms       | 50.452ms  | 26.496ms        | 26.496ms   | 512
│││├── ln_2     | 123.763ms      | 144.982ms | 71.583ms        | 76.506ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 51.648ms       | 57.648ms  | 49.951ms        | 49.951ms   | 512
││││└── c_proj  | 53.327ms       | 58.495ms  | 54.684ms        | 54.684ms   | 512
││├── 4         |                |           |                 |            |
│││├── ln_1     | 123.846ms      | 145.324ms | 76.153ms        | 81.071ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.531ms       | 45.296ms  | 43.949ms        | 43.949ms   | 512
││││└── c_proj  | 45.626ms       | 50.526ms  | 26.635ms        | 26.635ms   | 512
│││├── ln_2     | 123.925ms      | 145.335ms | 73.731ms        | 78.656ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 51.517ms       | 57.339ms  | 50.324ms        | 50.324ms   | 512
││││└── c_proj  | 47.135ms       | 52.250ms  | 48.356ms        | 48.356ms   | 512
││├── 5         |                |           |                 |            |
│││├── ln_1     | 126.086ms      | 147.691ms | 73.740ms        | 78.662ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 40.065ms       | 46.077ms  | 43.960ms        | 43.960ms   | 512
││││└── c_proj  | 48.868ms       | 56.761ms  | 29.228ms        | 29.228ms   | 512
│││├── ln_2     | 124.873ms      | 146.325ms | 74.008ms        | 78.932ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 52.377ms       | 58.320ms  | 49.821ms        | 49.821ms   | 512
││││└── c_proj  | 48.101ms       | 53.448ms  | 48.006ms        | 48.006ms   | 512
││├── 6         |                |           |                 |            |
│││├── ln_1     | 125.171ms      | 146.974ms | 73.723ms        | 78.644ms   | 512
