Module          | Self CPU total | CPU total | Self CUDA total | CUDA total | Number of Calls
----------------|----------------|-----------|-----------------|------------|----------------
GPT2LMHeadModel |                |           |                 |            |
├── transformer |                |           |                 |            |
│├── wte        | 33.973ms       | 57.018ms  | 14.062ms        | 21.662ms   | 512
│├── wpe        | 26.777ms       | 45.314ms  | 11.541ms        | 16.683ms   | 512
│├── h          |                |           |                 |            |
││├── 0         |                |           |                 |            |
│││├── ln_1     | 125.505ms      | 147.924ms | 71.295ms        | 76.378ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 382.139ms      | 388.588ms | 372.723ms       | 372.723ms  | 512
││││└── c_proj  | 62.485ms       | 67.298ms  | 23.114ms        | 23.114ms   | 512
│││├── ln_2     | 128.551ms      | 153.797ms | 74.590ms        | 79.728ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 63.893ms       | 69.771ms  | 39.660ms        | 39.660ms   | 512
││││└── c_proj  | 53.341ms       | 58.419ms  | 44.835ms        | 44.835ms   | 512
││├── 1         |                |           |                 |            |
│││├── ln_1     | 124.412ms      | 146.468ms | 70.942ms        | 76.014ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 42.727ms       | 49.208ms  | 32.168ms        | 32.168ms   | 512
││││└── c_proj  | 62.179ms       | 66.934ms  | 22.280ms        | 22.280ms   | 512
│││├── ln_2     | 124.684ms      | 146.714ms | 71.177ms        | 76.260ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 63.663ms       | 69.516ms  | 41.887ms        | 41.887ms   | 512
││││└── c_proj  | 53.276ms       | 58.484ms  | 41.981ms        | 41.981ms   | 512
││├── 2         |                |           |                 |            |
│││├── ln_1     | 124.607ms      | 146.592ms | 68.627ms        | 73.700ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 42.226ms       | 48.081ms  | 31.898ms        | 31.898ms   | 512
││││└── c_proj  | 62.018ms       | 66.744ms  | 22.003ms        | 22.003ms   | 512
│││├── ln_2     | 124.264ms      | 146.190ms | 73.529ms        | 78.610ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 63.470ms       | 69.315ms  | 39.234ms        | 39.234ms   | 512
││││└── c_proj  | 53.107ms       | 58.132ms  | 42.062ms        | 42.062ms   | 512
││├── 3         |                |           |                 |            |
│││├── ln_1     | 123.927ms      | 145.749ms | 70.153ms        | 75.172ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 42.597ms       | 48.590ms  | 31.403ms        | 31.403ms   | 512
││││└── c_proj  | 61.905ms       | 66.677ms  | 21.119ms        | 21.119ms   | 512
│││├── ln_2     | 124.259ms      | 145.997ms | 67.167ms        | 72.154ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 63.589ms       | 69.586ms  | 38.140ms        | 38.140ms   | 512
││││└── c_proj  | 53.166ms       | 58.218ms  | 44.077ms        | 44.077ms   | 512
││├── 4         |                |           |                 |            |
│││├── ln_1     | 124.046ms      | 145.946ms | 67.123ms        | 72.107ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 42.431ms       | 48.305ms  | 31.286ms        | 31.286ms   | 512
││││└── c_proj  | 61.685ms       | 66.421ms  | 23.667ms        | 23.667ms   | 512
│││├── ln_2     | 123.920ms      | 145.696ms | 71.982ms        | 76.977ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 67.644ms       | 73.504ms  | 42.715ms        | 42.715ms   | 512
││││└── c_proj  | 53.217ms       | 58.217ms  | 41.450ms        | 41.450ms   | 512
││├── 5         |                |           |                 |            |
│││├── ln_1     | 124.060ms      | 145.936ms | 67.137ms        | 72.124ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 42.601ms       | 48.499ms  | 31.280ms        | 31.280ms   | 512
││││└── c_proj  | 62.193ms       | 66.960ms  | 20.678ms        | 20.678ms   | 512
│││├── ln_2     | 125.104ms      | 147.115ms | 72.006ms        | 76.991ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 64.127ms       | 70.012ms  | 38.317ms        | 38.317ms   | 512
││││└── c_proj  | 53.591ms       | 58.660ms  | 40.708ms        | 40.708ms   | 512
││├── 6         |                |           |                 |            |
│││├── ln_1     | 124.823ms      | 146.774ms | 67.323ms        | 72.316ms   | 512
