Module          | Self CPU total | CPU total | Self CUDA total | CUDA total | Number of Calls
----------------|----------------|-----------|-----------------|------------|----------------
GPT2LMHeadModel |                |           |                 |            |
├── transformer |                |           |                 |            |
│├── wte        | 30.938ms       | 52.255ms  | 14.081ms        | 21.967ms   | 512
│├── wpe        | 27.377ms       | 46.984ms  | 12.558ms        | 18.962ms   | 512
│├── h          |                |           |                 |            |
││├── 0         |                |           |                 |            |
│││├── ln_1     | 124.607ms      | 146.600ms | 72.611ms        | 79.901ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 344.728ms      | 350.590ms | 342.557ms       | 342.557ms  | 512
││││└── c_proj  | 46.338ms       | 51.358ms  | 26.090ms        | 26.090ms   | 512
│││├── ln_2     | 124.608ms      | 146.451ms | 70.122ms        | 75.019ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 39.026ms       | 44.850ms  | 44.415ms        | 44.415ms   | 512
││││└── c_proj  | 47.449ms       | 52.610ms  | 51.754ms        | 51.754ms   | 512
││├── 1         |                |           |                 |            |
│││├── ln_1     | 124.504ms      | 146.558ms | 72.550ms        | 79.836ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.226ms       | 45.532ms  | 38.451ms        | 38.451ms   | 512
││││└── c_proj  | 45.935ms       | 50.868ms  | 25.972ms        | 25.972ms   | 512
│││├── ln_2     | 125.367ms      | 147.452ms | 72.554ms        | 77.451ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 38.831ms       | 44.622ms  | 44.450ms        | 44.450ms   | 512
││││└── c_proj  | 47.326ms       | 52.411ms  | 47.460ms        | 47.460ms   | 512
││├── 2         |                |           |                 |            |
│││├── ln_1     | 124.542ms      | 146.513ms | 70.187ms        | 75.083ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.045ms       | 44.842ms  | 38.197ms        | 38.197ms   | 512
││││└── c_proj  | 46.430ms       | 51.370ms  | 26.330ms        | 26.330ms   | 512
│││├── ln_2     | 123.877ms      | 145.352ms | 72.519ms        | 79.808ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 38.909ms       | 44.735ms  | 44.511ms        | 44.511ms   | 512
││││└── c_proj  | 47.316ms       | 52.425ms  | 47.136ms        | 47.136ms   | 512
││├── 3         |                |           |                 |            |
│││├── ln_1     | 124.093ms      | 145.867ms | 70.111ms        | 75.009ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 38.589ms       | 44.386ms  | 38.317ms        | 38.317ms   | 512
││││└── c_proj  | 46.025ms       | 50.956ms  | 26.130ms        | 26.130ms   | 512
│││├── ln_2     | 123.880ms      | 145.403ms | 70.155ms        | 75.059ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 38.913ms       | 44.817ms  | 46.970ms        | 46.970ms   | 512
││││└── c_proj  | 47.367ms       | 52.458ms  | 46.846ms        | 46.846ms   | 512
││├── 4         |                |           |                 |            |
│││├── ln_1     | 124.553ms      | 146.287ms | 74.957ms        | 84.635ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.369ms       | 45.163ms  | 38.462ms        | 38.462ms   | 512
││││└── c_proj  | 46.072ms       | 51.025ms  | 26.149ms        | 26.149ms   | 512
│││├── ln_2     | 125.478ms      | 147.431ms | 72.185ms        | 77.088ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 38.867ms       | 44.691ms  | 44.204ms        | 44.204ms   | 512
││││└── c_proj  | 47.879ms       | 53.031ms  | 47.065ms        | 47.065ms   | 512
││├── 5         |                |           |                 |            |
│││├── ln_1     | 125.888ms      | 148.376ms | 72.500ms        | 77.396ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.444ms       | 45.325ms  | 38.780ms        | 38.780ms   | 512
││││└── c_proj  | 46.219ms       | 51.142ms  | 26.022ms        | 26.022ms   | 512
│││├── ln_2     | 124.706ms      | 146.417ms | 74.934ms        | 79.837ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 39.382ms       | 45.268ms  | 44.105ms        | 44.105ms   | 512
││││└── c_proj  | 47.876ms       | 53.039ms  | 47.071ms        | 47.071ms   | 512
││├── 6         |                |           |                 |            |
│││├── ln_1     | 124.741ms      | 146.539ms | 74.960ms        | 79.860ms   | 512
